gender,birthdate,country_of_birth,current_country,postcode,national_insurance_number,cc_status,weight,height,blood_group,avg_n_drinks_per_week,avg_n_cigret_per_week,education_level,n_countries_visited,birthmonth_imp,birthyear_gov,birth_group_op,Continent_gov_op,postcode_imp,postcode_gov,hash
F,1990-09-22,Tonga,United Kingdom,CO8 9GD,ZZ313730T,0,99.7,1.46,O+,2.9,217.7,masters,35,1990-09,1990,Over 1980,other,CO8 ,CO,5412305
F,1958-02-07,Georgia,United Kingdom,S5 9QN,ZZ243156T,0,41.4,1.93,O+,7.1,26.9,secondary,10,1958-02,1958,1955-1980,Asia,S5 ,S,19280409
F,1961-05-03,Swaziland,United Kingdom,L8 3PT,ZZ912299T,0,92.4,1.98,O+,9.9,307.4,primary,3,1961-05,1961,1955-1980,Africa,L8 ,L,10873908
M,2000-01-16,Australia,United Kingdom,DH8M 2QX,ZZ954839T,0,91.3,1.98,A+,0.4,456.6,secondary,29,2000-01,2000,Over 1980,other,DH8M ,DH,10214892
F,1979-08-06,Swaziland,United Kingdom,BD0 0SJ,ZZ974029T,0,78.3,1.64,O+,5.3,118.8,secondary,14,1979-08,1979,1955-1980,Africa,BD0 ,BD,22441680
F,1967-10-26,Saint Martin,United Kingdom,S6 2RA,ZZ568385T,0,96.7,1.82,O+,1.7,187.0,secondary,35,1967-10,1967,1955-1980,America,S6 ,S,7425558
M,1968-05-31,Mongolia,United Kingdom,M5 4FG,ZZ640619T,0,58.1,1.89,O+,0.8,39.1,secondary,39,1968-05,1968,1955-1980,Asia,M5 ,M,20903300
F,1998-04-13,Portugal,United Kingdom,L86 3YD,ZZ122405T,0,84.9,1.57,O+,5.4,369.8,other,15,1998-04,1998,Over 1980,Europe,L86 ,L,11871342
F,1980-10-28,Burundi,United Kingdom,PO4P 3YL,ZZ514754T,0,72.7,1.86,O-,0.4,73.7,masters,6,1980-10,1980,1955-1980,Africa,PO4P ,PO,22887816
F,1969-06-13,Comoros,United Kingdom,SG2 6AX,ZZ086143T,0,52.8,1.82,A+,8.7,222.2,secondary,28,1969-06,1969,1955-1980,Africa,SG2 ,SG,24239750
F,1964-09-03,France,United Kingdom,EH8 1UH,ZZ645127T,0,41.6,1.59,A+,5.6,159.0,other,48,1964-09,1964,1955-1980,Europe,EH8 ,EH,5903578
F,1997-05-18,Georgia,United Kingdom,SM17 1ER,ZZ416948T,0,99.0,1.93,O+,3.1,182.8,secondary,25,1997-05,1997,Over 1980,Asia,SM17 ,SM,21313417
F,1972-03-08,Central African Republic,United Kingdom,G4F 8JS,ZZ992520T,0,42.7,1.42,O-,5.4,100.1,bachelor,33,1972-03,1972,1955-1980,Africa,G4F ,G,23225602
M,1994-02-16,Uzbekistan,United Kingdom,ME4N 3BR,ZZ853954T,0,38.9,1.53,A+,1.9,342.7,primary,7,1994-02,1994,Over 1980,Asia,ME4N ,ME,7778326
M,1978-02-09,Equatorial Guinea,United Kingdom,EH5Y 5RH,ZZ698469T,0,54.4,1.55,O+,10.0,267.0,other,21,1978-02,1978,1955-1980,Africa,EH5Y ,EH,11693975
M,1959-05-05,Palestinian Territory,United Kingdom,E36 4AD,ZZ463270T,0,54.2,1.7,O+,4.6,467.6,phD,36,1959-05,1959,1955-1980,Asia,E36 ,E,578101
M,1971-04-13,Luxembourg,United Kingdom,SA8N 9WB,ZZ233121T,0,60.8,1.82,A+,1.0,453.9,bachelor,32,1971-04,1971,1955-1980,Europe,SA8N ,SA,23091937
F,1982-10-20,American Samoa,United Kingdom,NE3E 8NR,ZZ807993T,0,66.4,1.93,O-,2.7,303.8,secondary,28,1982-10,1982,Over 1980,other,NE3E ,NE,23554078
F,2003-06-04,Malawi,United Kingdom,M5T 6PA,ZZ591839T,0,98.9,1.94,B+,8.2,384.5,bachelor,17,2003-06,2003,Over 1980,Africa,M5T ,M,19006811
M,1957-01-04,Luxembourg,United Kingdom,TN4 6ZT,ZZ450999T,0,89.8,1.41,O+,4.4,449.0,secondary,25,1957-01,1957,1955-1980,Europe,TN4 ,TN,4277921
F,1974-10-31,Niger,United Kingdom,LL47 1GX,ZZ455506T,0,81.3,1.9,A+,2.9,19.0,other,34,1974-10,1974,1955-1980,Africa,LL47 ,LL,15584215
F,1974-10-04,Senegal,United Kingdom,W9 5ZN,ZZ470723T,0,87.1,1.62,A+,3.8,328.9,secondary,45,1974-10,1974,1955-1980,Africa,W9 ,W,14255987
F,1958-05-22,Greece,United Kingdom,G71 8BL,ZZ200468T,0,47.6,1.47,A+,2.3,223.4,masters,13,1958-05,1958,1955-1980,Europe,G71 ,G,18005837
M,1971-08-22,Australia,United Kingdom,B6F 8HE,ZZ308523T,0,78.4,1.88,O+,9.8,294.3,primary,12,1971-08,1971,1955-1980,other,B6F ,B,9694602
M,1980-08-06,Zimbabwe,United Kingdom,S00 2ZP,ZZ200829T,0,85.2,1.65,O+,7.9,158.6,other,33,1980-08,1980,1955-1980,Africa,S00 ,S,3741017
F,1975-03-07,Guatemala,United Kingdom,N5 1YQ,ZZ163594T,0,83.2,1.86,O-,1.5,279.1,secondary,46,1975-03,1975,1955-1980,America,N5 ,N,7420254
M,1995-07-18,Moldova,United Kingdom,N47 7GR,ZZ515242T,1,91.9,1.44,B+,7.2,369.1,other,40,1995-07,1995,Over 1980,Europe,N47 ,N,22761516
M,1969-12-21,Cook Islands,United Kingdom,SE93 5FA,ZZ691064T,0,80.6,1.48,A+,4.8,149.1,phD,30,1969-12,1969,1955-1980,other,SE93 ,SE,12525928
M,1989-06-26,Nepal,United Kingdom,DD2 1WZ,ZZ296324T,0,87.3,2.0,O+,4.1,63.7,masters,5,1989-06,1989,Over 1980,Asia,DD2 ,DD,19184394
M,1957-01-11,Liechtenstein,United Kingdom,AL4 3AJ,ZZ624983T,0,97.4,1.78,O+,0.4,257.2,secondary,18,1957-01,1957,1955-1980,Europe,AL4 ,AL,14032458
M,1996-01-09,Indonesia,United Kingdom,M74 9JT,ZZ277063T,0,58.3,1.66,O+,7.2,158.8,secondary,3,1996-01,1996,Over 1980,Asia,M74 ,M,12767854
M,1976-10-20,Bulgaria,United Kingdom,G0B 4YN,ZZ204951T,0,83.1,1.78,O+,7.7,428.3,bachelor,49,1976-10,1976,1955-1980,Europe,G0B ,G,13868392
F,1993-10-26,Sudan,United Kingdom,W5S 1SS,ZZ194852T,0,73.2,1.42,AB-,1.3,370.2,masters,20,1993-10,1993,Over 1980,Africa,W5S ,W,3677532
M,1996-03-14,Iran,United Kingdom,L3F 2BD,ZZ536916T,0,83.7,1.67,O+,9.2,73.3,other,22,1996-03,1996,Over 1980,Asia,L3F ,L,4021283
M,1967-07-15,Cuba,United Kingdom,M6 8EZ,ZZ548379T,0,99.4,1.52,O+,1.1,325.5,masters,35,1967-07,1967,1955-1980,America,M6 ,M,6122489
M,1958-09-06,Bolivia,United Kingdom,CB3 9DE,ZZ725323T,0,60.6,1.75,O+,9.3,26.8,secondary,7,1958-09,1958,1955-1980,America,CB3 ,CB,19243419
M,1972-09-24,Cuba,United Kingdom,GY1R 3UL,ZZ372939T,0,67.9,1.78,O+,8.9,494.5,bachelor,43,1972-09,1972,1955-1980,America,GY1R ,GY,7676412
F,1963-05-16,South Georgia and the South Sandwich Islands,United Kingdom,AB4 3RJ,ZZ950506T,0,91.9,1.43,A+,2.7,231.0,bachelor,7,1963-05,1963,1955-1980,America,AB4 ,AB,18123206
F,1976-10-05,Korea,United Kingdom,S4 5BB,ZZ190819T,0,47.0,1.65,B-,4.5,399.9,other,40,1976-10,1976,1955-1980,Asia,S4 ,S,24359690
M,1964-01-03,Tokelau,United Kingdom,PL46 0WW,ZZ132671T,0,39.3,1.54,A+,2.0,264.2,bachelor,25,1964-01,1964,1955-1980,other,PL46 ,PL,18758518
F,1968-12-14,Mayotte,United Kingdom,ME9E 4RY,ZZ796583T,0,84.6,1.92,O+,4.6,298.1,secondary,29,1968-12,1968,1955-1980,Africa,ME9E ,ME,16492479
M,1985-12-06,Faroe Islands,United Kingdom,E44 1JS,ZZ253673T,0,80.2,1.46,A+,8.5,385.5,secondary,20,1985-12,1985,Over 1980,Europe,E44 ,E,8092017
F,1967-03-25,Northern Mariana Islands,United Kingdom,S6 0ZG,ZZ665660T,0,74.9,1.53,A+,4.3,336.3,masters,43,1967-03,1967,1955-1980,other,S6 ,S,24201808
M,1993-11-12,Dominica,United Kingdom,M7D 4FZ,ZZ320074T,0,57.0,1.51,O+,7.7,258.4,other,9,1993-11,1993,Over 1980,America,M7D ,M,614450
F,1956-08-07,Maldives,United Kingdom,W8 4RB,ZZ772318T,0,45.6,1.82,A+,5.7,210.1,bachelor,45,1956-08,1956,1955-1980,Asia,W8 ,W,17087606
F,1996-07-16,Bahamas,United Kingdom,G1H 7QL,ZZ208226T,0,37.1,1.59,B-,4.2,115.6,secondary,47,1996-07,1996,Over 1980,America,G1H ,G,5839171
M,1994-02-11,Seychelles,United Kingdom,PO4M 5FD,ZZ781122T,0,35.2,1.91,A+,2.0,127.6,phD,12,1994-02,1994,Over 1980,Africa,PO4M ,PO,14203208
F,1956-08-18,Maldives,United Kingdom,KT7B 7FR,ZZ268056T,0,95.3,1.47,A+,7.4,98.0,secondary,10,1956-08,1956,1955-1980,Asia,KT7B ,KT,21049935
M,1996-05-29,Comoros,United Kingdom,SR8P 8XB,ZZ348340T,0,42.1,1.59,B+,0.2,194.2,secondary,26,1996-05,1996,Over 1980,Africa,SR8P ,SR,18796793
F,1969-12-23,Kiribati,United Kingdom,NR02 5SJ,ZZ685921T,0,40.2,1.76,O+,2.4,381.0,phD,41,1969-12,1969,1955-1980,other,NR02 ,NR,2090074
M,1971-12-25,Mongolia,United Kingdom,L42 7JB,ZZ366602T,0,47.5,1.56,O+,3.8,351.7,secondary,9,1971-12,1971,1955-1980,Asia,L42 ,L,15828301
M,1997-08-14,Peru,United Kingdom,DT9 1QT,ZZ441019T,0,97.3,1.52,O+,2.7,443.6,secondary,34,1997-08,1997,Over 1980,America,DT9 ,DT,6047340
M,1966-05-11,Cape Verde,United Kingdom,RG52 9ZP,ZZ937602T,1,80.5,1.91,O+,4.8,310.9,secondary,25,1966-05,1966,1955-1980,Africa,RG52 ,RG,22494238
F,1960-07-27,Latvia,United Kingdom,PR14 6TQ,ZZ275149T,0,46.1,1.66,A+,0.7,422.2,masters,28,1960-07,1960,1955-1980,Europe,PR14 ,PR,1154352
F,1995-08-29,Saint Lucia,United Kingdom,FY20 5NS,ZZ003610T,0,84.8,1.56,A-,2.2,394.5,secondary,42,1995-08,1995,Over 1980,America,FY20 ,FY,14578267
F,1959-06-02,Bangladesh,United Kingdom,L33 0TU,ZZ210900T,0,87.7,1.78,O-,7.5,280.6,masters,15,1959-06,1959,1955-1980,Asia,L33 ,L,19990369
F,1961-03-05,Heard Island and McDonald Islands,United Kingdom,L8J 8JG,ZZ511466T,0,97.9,1.54,A+,3.3,251.3,primary,29,1961-03,1961,1955-1980,other,L8J ,L,21638571
F,1968-07-27,Suriname,United Kingdom,M9T 3AB,ZZ035114T,0,75.5,1.97,O-,8.2,303.9,secondary,3,1968-07,1968,1955-1980,America,M9T ,M,18817086
F,1996-09-02,Nepal,United Kingdom,N5 5BD,ZZ454027T,1,88.2,1.6,A+,7.8,372.0,other,44,1996-09,1996,Over 1980,Asia,N5 ,N,6474909
F,1967-12-11,Northern Mariana Islands,United Kingdom,SO8 0QH,ZZ993781T,0,66.4,1.59,B-,3.0,430.9,masters,17,1967-12,1967,1955-1980,other,SO8 ,SO,5711105
F,1957-07-25,Suriname,United Kingdom,IG32 6RX,ZZ331632T,0,94.1,1.51,O+,9.7,87.6,secondary,35,1957-07,1957,1955-1980,America,IG32 ,IG,11568948
F,1980-09-19,Cape Verde,United Kingdom,GU4 6GT,ZZ272685T,0,74.6,1.53,B+,1.1,160.7,secondary,23,1980-09,1980,1955-1980,Africa,GU4 ,GU,684921
F,1975-05-08,Guyana,United Kingdom,NR9H 7UD,ZZ133935T,0,61.1,1.77,O-,1.3,458.9,secondary,25,1975-05,1975,1955-1980,America,NR9H ,NR,22168466
M,1983-03-11,Belgium,United Kingdom,LE7V 0QA,ZZ770380T,0,57.6,1.67,O+,9.6,259.5,phD,31,1983-03,1983,Over 1980,Europe,LE7V ,LE,5061672
M,1976-07-26,Montenegro,United Kingdom,L2K 7GT,ZZ080877T,0,61.9,1.71,A+,1.5,300.1,secondary,42,1976-07,1976,1955-1980,Europe,L2K ,L,2277131
M,1967-06-21,Montserrat,United Kingdom,FK63 0PR,ZZ399083T,0,40.4,1.96,A+,1.4,431.3,secondary,34,1967-06,1967,1955-1980,America,FK63 ,FK,14574107
F,1998-03-28,United States Virgin Islands,United Kingdom,N6 6XU,ZZ465565T,0,97.2,1.83,A+,5.6,359.1,masters,3,1998-03,1998,Over 1980,America,N6 ,N,22852826
F,1981-03-06,Tokelau,United Kingdom,S51 3ND,ZZ413239T,0,83.5,1.71,B+,5.5,352.3,other,32,1981-03,1981,1955-1980,other,S51 ,S,8345537
F,1964-10-30,Libyan Arab Jamahiriya,United Kingdom,WC7 3WX,ZZ542256T,0,39.4,1.7,A+,2.9,178.0,secondary,30,1964-10,1964,1955-1980,Africa,WC7 ,WC,8655004
F,1973-10-11,Serbia,United Kingdom,YO7 0PU,ZZ711844T,0,43.4,1.44,O+,1.9,4.6,other,28,1973-10,1973,1955-1980,Europe,YO7 ,YO,1278547
M,1958-02-17,Indonesia,United Kingdom,W8 3BN,ZZ839831T,0,98.9,1.67,A+,1.2,190.8,phD,9,1958-02,1958,1955-1980,Asia,W8 ,W,17210989
F,2002-07-14,Saint Lucia,United Kingdom,S4H 9XJ,ZZ233733T,0,64.7,1.79,A+,6.1,472.2,secondary,37,2002-07,2002,Over 1980,America,S4H ,S,21316009
F,1969-11-16,Switzerland,United Kingdom,W49 1NH,ZZ051744T,0,35.4,1.41,O+,9.4,322.1,bachelor,26,1969-11,1969,1955-1980,Europe,W49 ,W,8614473
F,1998-12-07,Greece,United Kingdom,W99 8QL,ZZ221214T,0,92.0,1.86,AB-,3.0,113.5,secondary,48,1998-12,1998,Over 1980,Europe,W99 ,W,3090751
F,1990-02-16,Romania,United Kingdom,S0G 9XX,ZZ115684T,0,70.9,1.65,A+,1.6,481.7,secondary,47,1990-02,1990,Over 1980,Europe,S0G ,S,23330819
M,1987-10-20,Solomon Islands,United Kingdom,LE2 0DT,ZZ748229T,0,43.4,1.4,O+,1.1,361.0,bachelor,10,1987-10,1987,Over 1980,other,LE2 ,LE,207334
F,1978-09-28,Japan,United Kingdom,LU9W 9ZY,ZZ405871T,0,54.4,1.83,O+,3.4,187.8,secondary,32,1978-09,1978,1955-1980,Asia,LU9W ,LU,19989313
F,1977-10-01,Panama,United Kingdom,WA58 5PY,ZZ376995T,0,91.9,1.42,O+,4.1,395.6,bachelor,25,1977-10,1977,1955-1980,America,WA58 ,WA,10386170
F,1955-12-24,Cayman Islands,United Kingdom,ST1X 6HW,ZZ262165T,0,87.7,1.69,O+,2.5,302.5,secondary,30,1955-12,1955,1955-1980,America,ST1X ,ST,19168492
M,1994-02-16,Western Sahara,United Kingdom,G4 9WF,ZZ499935T,0,62.1,1.66,A+,1.3,19.6,primary,15,1994-02,1994,Over 1980,other,G4 ,G,19903430
M,1982-07-09,Lebanon,United Kingdom,B4B 6BF,ZZ413097T,0,65.9,1.94,A+,1.8,169.3,bachelor,43,1982-07,1982,Over 1980,Asia,B4B ,B,12894024
M,1997-07-09,Thailand,United Kingdom,W7D 8AL,ZZ035840T,0,39.0,1.89,A-,5.7,491.8,primary,9,1997-07,1997,Over 1980,Asia,W7D ,W,3576808
F,1959-03-30,Benin,United Kingdom,S4S 2TT,ZZ391882T,0,85.0,1.72,AB+,4.0,301.0,secondary,22,1959-03,1959,1955-1980,Africa,S4S ,S,8621355
F,1969-12-18,Burkina Faso,United Kingdom,TN0 2XU,ZZ211398T,0,96.3,1.81,A+,7.7,41.6,other,4,1969-12,1969,1955-1980,Africa,TN0 ,TN,2441923
F,1980-07-22,Jamaica,United Kingdom,TR9W 9FR,ZZ883353T,0,84.3,1.4,A+,7.5,266.2,secondary,21,1980-07,1980,1955-1980,America,TR9W ,TR,16321380
M,1977-06-05,Tajikistan,United Kingdom,S4 3AU,ZZ374944T,0,78.4,1.9,B+,3.9,72.0,masters,36,1977-06,1977,1955-1980,Asia,S4 ,S,22123990
M,1959-02-02,Canada,United Kingdom,BS1B 9ZB,ZZ559970T,0,78.2,1.5,A+,3.2,297.8,secondary,35,1959-02,1959,1955-1980,America,BS1B ,BS,15035113
F,1977-03-10,Chile,United Kingdom,M9 4FZ,ZZ643009T,0,43.7,1.91,O+,7.4,352.3,other,16,1977-03,1977,1955-1980,America,M9 ,M,8252217
F,1990-01-13,Qatar,United Kingdom,EX0 9NY,ZZ345844T,0,60.7,1.54,A+,9.5,146.3,secondary,30,1990-01,1990,Over 1980,Asia,EX0 ,EX,24005095
M,2002-01-29,Sweden,United Kingdom,RM79 3XT,ZZ139749T,0,89.2,1.54,B+,6.1,272.8,other,35,2002-01,2002,Over 1980,Europe,RM79 ,RM,17748866
F,1990-01-30,Bhutan,United Kingdom,WS04 5ZU,ZZ830793T,1,61.9,1.61,A+,1.8,118.6,secondary,38,1990-01,1990,Over 1980,Asia,WS04 ,WS,6865796
F,1979-05-28,Cambodia,United Kingdom,CW30 7TE,ZZ549240T,0,88.3,1.54,A+,7.1,196.4,primary,23,1979-05,1979,1955-1980,Asia,CW30 ,CW,7969305
F,1989-12-01,San Marino,United Kingdom,B3 5XG,ZZ534380T,0,56.6,1.99,O+,3.7,51.0,masters,36,1989-12,1989,Over 1980,Europe,B3 ,B,23455413
F,1995-09-30,Zambia,United Kingdom,G9W 2GY,ZZ079483T,0,42.5,1.83,A+,1.8,159.9,masters,28,1995-09,1995,Over 1980,Africa,G9W ,G,11111019
M,1976-09-19,Kiribati,United Kingdom,W72 6RL,ZZ547266T,0,79.5,1.72,O+,2.2,423.9,bachelor,36,1976-09,1976,1955-1980,other,W72 ,W,23309701
F,2000-02-09,Liberia,United Kingdom,G0A 2DB,ZZ504616T,0,92.3,1.4,A+,5.9,155.7,secondary,15,2000-02,2000,Over 1980,Africa,G0A ,G,6549839
M,1986-08-23,Marshall Islands,United Kingdom,TF4R 2NX,ZZ856951T,0,72.0,1.87,O+,8.4,207.3,secondary,46,1986-08,1986,Over 1980,other,TF4R ,TF,13275925
F,1972-06-03,Central African Republic,United Kingdom,B83 5GR,ZZ737864T,0,70.2,1.61,AB+,0.1,306.1,bachelor,16,1972-06,1972,1955-1980,Africa,B83 ,B,15130257
F,1966-02-19,Norway,United Kingdom,W2 2AJ,ZZ390557T,0,94.5,1.41,O+,2.9,424.5,bachelor,28,1966-02,1966,1955-1980,Europe,W2 ,W,22047767
M,1960-11-30,Portugal,United Kingdom,TN6 1AF,ZZ953018T,0,76.1,1.97,O+,9.7,480.8,bachelor,26,1960-11,1960,1955-1980,Europe,TN6 ,TN,16119669
M,1971-07-12,Faroe Islands,United Kingdom,E1 5YF,ZZ049493T,0,36.8,1.47,A+,7.6,169.8,bachelor,31,1971-07,1971,1955-1980,Europe,E1 ,E,992945
M,1981-07-18,Svalbard & Jan Mayen Islands,United Kingdom,SR6N 4SP,ZZ306251T,0,76.9,1.96,O+,6.1,33.9,other,27,1981-07,1981,1955-1980,Europe,SR6N ,SR,67326
F,1985-01-12,Mauritania,United Kingdom,L7S 8PX,ZZ004962T,0,62.4,1.55,A+,7.9,311.9,secondary,3,1985-01,1985,Over 1980,Africa,L7S ,L,9510407
F,1972-04-25,Uzbekistan,United Kingdom,E1S 3JF,ZZ568615T,1,49.1,1.42,O+,9.5,455.2,bachelor,17,1972-04,1972,1955-1980,Asia,E1S ,E,2716582
M,1959-03-14,French Polynesia,United Kingdom,HU4 7SH,ZZ311627T,0,67.0,1.48,A+,2.8,61.8,secondary,46,1959-03,1959,1955-1980,other,HU4 ,HU,6009396
F,1966-08-05,Costa Rica,United Kingdom,M2E 6ER,ZZ048469T,0,35.4,1.57,A-,7.8,483.5,secondary,35,1966-08,1966,1955-1980,America,M2E ,M,19840565
F,1970-10-03,El Salvador,United Kingdom,DG8M 4TU,ZZ963303T,0,76.4,1.45,A+,9.1,100.5,masters,35,1970-10,1970,1955-1980,America,DG8M ,DG,8841059
M,1970-05-24,Bulgaria,United Kingdom,BL2 8EE,ZZ012694T,0,70.3,1.83,B-,1.3,386.7,secondary,48,1970-05,1970,1955-1980,Europe,BL2 ,BL,1498968
M,1971-07-10,Chad,United Kingdom,WS9 8ZR,ZZ121827T,0,56.7,1.74,O-,1.8,139.8,bachelor,24,1971-07,1971,1955-1980,Africa,WS9 ,WS,4932139
M,1988-01-12,United Arab Emirates,United Kingdom,ZE74 3ZX,ZZ166315T,0,95.1,1.69,O+,8.0,259.2,secondary,33,1988-01,1988,Over 1980,Asia,ZE74 ,ZE,9579358
F,1969-03-11,Greenland,United Kingdom,WR44 9LR,ZZ220120T,0,38.4,1.95,O+,0.2,172.4,bachelor,25,1969-03,1969,1955-1980,America,WR44 ,WR,3858608
F,2002-01-26,Macao,United Kingdom,OL49 2NG,ZZ898642T,0,56.2,1.89,O+,6.8,402.9,bachelor,22,2002-01,2002,Over 1980,Asia,OL49 ,OL,6616094
M,1969-10-25,Mali,United Kingdom,ML4B 5RQ,ZZ963500T,0,93.3,1.65,O-,5.0,310.4,masters,29,1969-10,1969,1955-1980,Africa,ML4B ,ML,14636513
M,1978-08-17,Russian Federation,United Kingdom,BT4 4NF,ZZ963913T,1,51.0,1.83,B-,4.8,122.0,bachelor,7,1978-08,1978,1955-1980,Europe,BT4 ,BT,17656753
F,1978-07-31,Wallis and Futuna,United Kingdom,CV7 3PD,ZZ477465T,0,69.7,1.65,A+,5.0,439.7,secondary,26,1978-07,1978,1955-1980,other,CV7 ,CV,4943181
M,1992-11-11,Namibia,United Kingdom,LN6H 4LP,ZZ431466T,0,47.4,1.99,O+,7.3,49.1,secondary,45,1992-11,1992,Over 1980,Africa,LN6H ,LN,18842020
M,1980-05-25,Saudi Arabia,United Kingdom,IG7M 5GA,ZZ420771T,0,75.7,1.77,O+,9.4,71.0,secondary,23,1980-05,1980,1955-1980,Asia,IG7M ,IG,21595967
M,1988-05-06,Kiribati,United Kingdom,ME7 5YN,ZZ111367T,0,49.7,1.69,A+,8.8,162.1,other,49,1988-05,1988,Over 1980,other,ME7 ,ME,21000712
M,1994-01-26,Pitcairn Islands,United Kingdom,W62 5GT,ZZ250144T,0,54.0,1.87,A+,3.8,239.3,bachelor,50,1994-01,1994,Over 1980,other,W62 ,W,3072827
M,1983-10-02,Mongolia,United Kingdom,S4E 7JN,ZZ030105T,0,52.1,1.62,A+,3.6,443.9,secondary,20,1983-10,1983,Over 1980,Asia,S4E ,S,12504541
F,1965-05-06,Japan,United Kingdom,PA84 6JG,ZZ742192T,0,68.6,1.87,A+,4.6,59.1,secondary,9,1965-05,1965,1955-1980,Asia,PA84 ,PA,9670752
M,1960-05-05,Montserrat,United Kingdom,PL7 1GL,ZZ339520T,0,96.6,1.56,B+,8.1,407.8,masters,16,1960-05,1960,1955-1980,America,PL7 ,PL,14649401
M,1980-02-17,Saint Barthelemy,United Kingdom,MK8W 7RH,ZZ899697T,0,47.2,1.66,O+,5.3,443.3,masters,4,1980-02,1980,1955-1980,America,MK8W ,MK,7432721
F,1967-05-31,Germany,United Kingdom,RM9 6NH,ZZ696837T,0,97.5,1.41,O+,2.0,26.8,bachelor,39,1967-05,1967,1955-1980,Europe,RM9 ,RM,15289245
F,1977-12-16,Liberia,United Kingdom,E0W 4GL,ZZ311930T,0,61.5,1.43,A+,1.9,107.6,secondary,15,1977-12,1977,1955-1980,Africa,E0W ,E,13294691
F,2001-03-29,Djibouti,United Kingdom,PL5B 3UY,ZZ838727T,0,93.1,1.51,O+,0.6,231.4,primary,41,2001-03,2001,Over 1980,Africa,PL5B ,PL,1286728
F,1959-11-27,United Arab Emirates,United Kingdom,G6A 8JX,ZZ502181T,0,95.7,1.86,A-,9.1,148.1,secondary,7,1959-11,1959,1955-1980,Asia,G6A ,G,12523345
F,1965-05-09,Rwanda,United Kingdom,HU2 4RQ,ZZ336264T,0,66.5,1.81,O+,1.5,377.0,bachelor,29,1965-05,1965,1955-1980,Africa,HU2 ,HU,17208402
F,1989-01-17,Burkina Faso,United Kingdom,N76 8FG,ZZ789209T,0,74.0,1.63,O+,3.1,288.3,secondary,44,1989-01,1989,Over 1980,Africa,N76 ,N,3087232
M,1983-01-05,Mali,United Kingdom,N7 7FF,ZZ957501T,0,83.7,1.65,O+,0.3,476.1,phD,32,1983-01,1983,Over 1980,Africa,N7 ,N,7176178
M,1978-08-18,South Georgia and the South Sandwich Islands,United Kingdom,L61 7AT,ZZ033498T,0,98.6,1.81,A+,4.6,483.4,secondary,3,1978-08,1978,1955-1980,America,L61 ,L,25305286
F,1961-08-03,Sudan,United Kingdom,L6 4BZ,ZZ897885T,0,41.4,1.64,O+,0.2,279.5,secondary,40,1961-08,1961,1955-1980,Africa,L6 ,L,2090552
M,1983-02-05,Guernsey,United Kingdom,L28 4TT,ZZ342132T,0,83.2,1.94,A-,6.0,347.3,primary,40,1983-02,1983,Over 1980,Europe,L28 ,L,18735823
M,1972-04-09,Aruba,United Kingdom,W4 9ER,ZZ565655T,0,65.7,1.82,O+,1.9,331.1,phD,13,1972-04,1972,1955-1980,America,W4 ,W,14889342
F,1980-02-29,Tunisia,United Kingdom,IP3 2XL,ZZ649405T,0,97.1,1.56,A+,3.1,129.0,masters,37,1980-02,1980,1955-1980,Africa,IP3 ,IP,17105748
F,1990-05-26,Dominica,United Kingdom,SO8 9LQ,ZZ658655T,0,91.0,1.97,O+,6.5,250.3,secondary,16,1990-05,1990,Over 1980,America,SO8 ,SO,11763040
M,1979-02-20,Taiwan,United Kingdom,E4D 1LP,ZZ058025T,0,93.6,1.92,B+,3.7,469.5,secondary,29,1979-02,1979,1955-1980,Asia,E4D ,E,5598207
M,1979-05-25,Martinique,United Kingdom,B9G 7UN,ZZ603361T,0,74.3,1.8,O+,8.7,496.7,masters,24,1979-05,1979,1955-1980,America,B9G ,B,12194950
F,1967-09-30,Slovenia,United Kingdom,L4 8HL,ZZ397319T,0,79.4,1.71,A+,9.7,169.2,bachelor,44,1967-09,1967,1955-1980,Europe,L4 ,L,20167644
F,1987-09-24,Slovakia (Slovak Republic),United Kingdom,L6T 9QW,ZZ271375T,0,88.2,1.61,AB+,8.8,426.7,secondary,38,1987-09,1987,Over 1980,Europe,L6T ,L,22444128
F,1960-09-28,Nepal,United Kingdom,WD69 1HB,ZZ645895T,0,65.6,1.41,O+,8.6,123.7,secondary,26,1960-09,1960,1955-1980,Asia,WD69 ,WD,11187479
M,1962-12-20,Tokelau,United Kingdom,M4F 9BE,ZZ715347T,0,62.4,1.56,A-,4.5,488.1,other,9,1962-12,1962,1955-1980,other,M4F ,M,23413586
F,1964-10-13,Lebanon,United Kingdom,MK0H 1PR,ZZ698609T,0,68.0,1.5,A-,7.4,212.3,masters,37,1964-10,1964,1955-1980,Asia,MK0H ,MK,6720643
F,1962-08-09,Nauru,United Kingdom,S52 8ER,ZZ457956T,0,87.1,1.59,A+,4.0,205.5,secondary,27,1962-08,1962,1955-1980,other,S52 ,S,16537672
M,2003-10-30,Bouvet Island (Bouvetoya),United Kingdom,G9S 3JX,ZZ720984T,0,39.0,1.67,A+,1.5,391.9,bachelor,9,2003-10,2003,Over 1980,other,G9S ,G,13144856
F,1972-12-22,Lesotho,United Kingdom,N7G 9BD,ZZ333458T,0,85.3,1.46,O+,7.2,431.1,secondary,24,1972-12,1972,1955-1980,Africa,N7G ,N,11347769
